Datum,Provincienaam,Provinciecode,Type,Aantal,AantalCumulatief
27/02/2020,Drenthe,22,Overleden,,
27/02/2020,Drenthe,22,Totaal,,0
27/02/2020,Drenthe,22,Ziekenhuisopname,,
28/02/2020,Drenthe,22,Overleden,,
28/02/2020,Drenthe,22,Totaal,0,0
28/02/2020,Drenthe,22,Ziekenhuisopname,,
29/02/2020,Drenthe,22,Overleden,,
29/02/2020,Drenthe,22,Totaal,0,0
29/02/2020,Drenthe,22,Ziekenhuisopname,,
01/03/2020,Drenthe,22,Overleden,,
01/03/2020,Drenthe,22,Totaal,1,1
01/03/2020,Drenthe,22,Ziekenhuisopname,,
02/03/2020,Drenthe,22,Overleden,,
02/03/2020,Drenthe,22,Totaal,0,1
02/03/2020,Drenthe,22,Ziekenhuisopname,,
03/03/2020,Drenthe,22,Overleden,,
03/03/2020,Drenthe,22,Totaal,1,2
03/03/2020,Drenthe,22,Ziekenhuisopname,,
04/03/2020,Drenthe,22,Overleden,,
04/03/2020,Drenthe,22,Totaal,0,2
04/03/2020,Drenthe,22,Ziekenhuisopname,,
05/03/2020,Drenthe,22,Overleden,,
05/03/2020,Drenthe,22,Totaal,1,3
05/03/2020,Drenthe,22,Ziekenhuisopname,,
06/03/2020,Drenthe,22,Overleden,,
06/03/2020,Drenthe,22,Totaal,0,3
06/03/2020,Drenthe,22,Ziekenhuisopname,,
07/03/2020,Drenthe,22,Overleden,,
07/03/2020,Drenthe,22,Totaal,0,3
07/03/2020,Drenthe,22,Ziekenhuisopname,,
08/03/2020,Drenthe,22,Overleden,,
08/03/2020,Drenthe,22,Totaal,5,8
08/03/2020,Drenthe,22,Ziekenhuisopname,,
09/03/2020,Drenthe,22,Overleden,,
09/03/2020,Drenthe,22,Totaal,2,10
09/03/2020,Drenthe,22,Ziekenhuisopname,,
10/03/2020,Drenthe,22,Overleden,,
10/03/2020,Drenthe,22,Totaal,2,12
10/03/2020,Drenthe,22,Ziekenhuisopname,,
11/03/2020,Drenthe,22,Overleden,,
11/03/2020,Drenthe,22,Totaal,0,12
11/03/2020,Drenthe,22,Ziekenhuisopname,,
12/03/2020,Drenthe,22,Overleden,,
12/03/2020,Drenthe,22,Totaal,1,13
12/03/2020,Drenthe,22,Ziekenhuisopname,,
13/03/2020,Drenthe,22,Overleden,,0
13/03/2020,Drenthe,22,Totaal,0,13
13/03/2020,Drenthe,22,Ziekenhuisopname,,0
14/03/2020,Drenthe,22,Overleden,0,0
14/03/2020,Drenthe,22,Totaal,2,15
14/03/2020,Drenthe,22,Ziekenhuisopname,0,0
15/03/2020,Drenthe,22,Overleden,0,0
15/03/2020,Drenthe,22,Totaal,0,15
15/03/2020,Drenthe,22,Ziekenhuisopname,0,0
16/03/2020,Drenthe,22,Overleden,0,0
16/03/2020,Drenthe,22,Totaal,1,16
16/03/2020,Drenthe,22,Ziekenhuisopname,1,1
17/03/2020,Drenthe,22,Overleden,0,0
17/03/2020,Drenthe,22,Totaal,1,17
17/03/2020,Drenthe,22,Ziekenhuisopname,0,1
18/03/2020,Drenthe,22,Overleden,0,0
18/03/2020,Drenthe,22,Totaal,5,22
18/03/2020,Drenthe,22,Ziekenhuisopname,0,1
19/03/2020,Drenthe,22,Overleden,1,1
19/03/2020,Drenthe,22,Totaal,3,25
19/03/2020,Drenthe,22,Ziekenhuisopname,0,1
20/03/2020,Drenthe,22,Overleden,0,1
20/03/2020,Drenthe,22,Totaal,12,37
20/03/2020,Drenthe,22,Ziekenhuisopname,1,2
21/03/2020,Drenthe,22,Overleden,0,1
21/03/2020,Drenthe,22,Totaal,1,38
21/03/2020,Drenthe,22,Ziekenhuisopname,1,3
22/03/2020,Drenthe,22,Overleden,0,1
22/03/2020,Drenthe,22,Totaal,4,42
22/03/2020,Drenthe,22,Ziekenhuisopname,1,4
23/03/2020,Drenthe,22,Overleden,1,2
23/03/2020,Drenthe,22,Totaal,7,49
23/03/2020,Drenthe,22,Ziekenhuisopname,4,8
24/03/2020,Drenthe,22,Overleden,0,2
24/03/2020,Drenthe,22,Totaal,6,55
24/03/2020,Drenthe,22,Ziekenhuisopname,4,12
25/03/2020,Drenthe,22,Overleden,0,2
25/03/2020,Drenthe,22,Totaal,5,60
25/03/2020,Drenthe,22,Ziekenhuisopname,2,14
26/03/2020,Drenthe,22,Overleden,0,2
26/03/2020,Drenthe,22,Totaal,11,71
26/03/2020,Drenthe,22,Ziekenhuisopname,3,17
27/03/2020,Drenthe,22,Overleden,1,3
27/03/2020,Drenthe,22,Totaal,8,79
27/03/2020,Drenthe,22,Ziekenhuisopname,3,20
28/03/2020,Drenthe,22,Overleden,0,3
28/03/2020,Drenthe,22,Totaal,18,97
28/03/2020,Drenthe,22,Ziekenhuisopname,4,24
29/03/2020,Drenthe,22,Overleden,0,3
29/03/2020,Drenthe,22,Totaal,15,112
29/03/2020,Drenthe,22,Ziekenhuisopname,2,26
30/03/2020,Drenthe,22,Overleden,0,3
30/03/2020,Drenthe,22,Totaal,4,116
30/03/2020,Drenthe,22,Ziekenhuisopname,4,30
31/03/2020,Drenthe,22,Overleden,1,4
31/03/2020,Drenthe,22,Totaal,7,123
31/03/2020,Drenthe,22,Ziekenhuisopname,8,38
01/04/2020,Drenthe,22,Overleden,1,5
01/04/2020,Drenthe,22,Totaal,19,142
01/04/2020,Drenthe,22,Ziekenhuisopname,5,43
02/04/2020,Drenthe,22,Overleden,3,8
02/04/2020,Drenthe,22,Totaal,15,157
02/04/2020,Drenthe,22,Ziekenhuisopname,1,44
03/04/2020,Drenthe,22,Overleden,1,9
03/04/2020,Drenthe,22,Totaal,13,170
03/04/2020,Drenthe,22,Ziekenhuisopname,5,49
04/04/2020,Drenthe,22,Overleden,2,11
04/04/2020,Drenthe,22,Totaal,22,192
04/04/2020,Drenthe,22,Ziekenhuisopname,7,56
05/04/2020,Drenthe,22,Overleden,0,11
05/04/2020,Drenthe,22,Totaal,15,207
05/04/2020,Drenthe,22,Ziekenhuisopname,0,56
06/04/2020,Drenthe,22,Overleden,0,11
06/04/2020,Drenthe,22,Totaal,8,215
06/04/2020,Drenthe,22,Ziekenhuisopname,4,60
07/04/2020,Drenthe,22,Overleden,2,13
07/04/2020,Drenthe,22,Totaal,4,219
07/04/2020,Drenthe,22,Ziekenhuisopname,9,69
08/04/2020,Drenthe,22,Overleden,0,13
08/04/2020,Drenthe,22,Totaal,13,232
08/04/2020,Drenthe,22,Ziekenhuisopname,3,72
09/04/2020,Drenthe,22,Overleden,0,13
09/04/2020,Drenthe,22,Totaal,17,249
09/04/2020,Drenthe,22,Ziekenhuisopname,4,76
10/04/2020,Drenthe,22,Overleden,0,13
10/04/2020,Drenthe,22,Totaal,17,266
10/04/2020,Drenthe,22,Ziekenhuisopname,2,78
11/04/2020,Drenthe,22,Overleden,1,14
11/04/2020,Drenthe,22,Totaal,23,289
11/04/2020,Drenthe,22,Ziekenhuisopname,1,79
12/04/2020,Drenthe,22,Overleden,0,14
12/04/2020,Drenthe,22,Totaal,15,304
12/04/2020,Drenthe,22,Ziekenhuisopname,0,79
13/04/2020,Drenthe,22,Overleden,0,14
13/04/2020,Drenthe,22,Totaal,9,313
13/04/2020,Drenthe,22,Ziekenhuisopname,0,79
14/04/2020,Drenthe,22,Overleden,0,14
14/04/2020,Drenthe,22,Totaal,6,319
14/04/2020,Drenthe,22,Ziekenhuisopname,0,79
15/04/2020,Drenthe,22,Overleden,5,19
15/04/2020,Drenthe,22,Totaal,6,325
15/04/2020,Drenthe,22,Ziekenhuisopname,2,81
16/04/2020,Drenthe,22,Overleden,1,20
16/04/2020,Drenthe,22,Totaal,15,340
16/04/2020,Drenthe,22,Ziekenhuisopname,8,89
17/04/2020,Drenthe,22,Overleden,1,21
17/04/2020,Drenthe,22,Totaal,15,355
17/04/2020,Drenthe,22,Ziekenhuisopname,2,91
18/04/2020,Drenthe,22,Overleden,2,23
18/04/2020,Drenthe,22,Totaal,18,373
18/04/2020,Drenthe,22,Ziekenhuisopname,0,91
19/04/2020,Drenthe,22,Overleden,0,23
19/04/2020,Drenthe,22,Totaal,12,385
19/04/2020,Drenthe,22,Ziekenhuisopname,0,91
20/04/2020,Drenthe,22,Overleden,0,23
20/04/2020,Drenthe,22,Totaal,9,394
20/04/2020,Drenthe,22,Ziekenhuisopname,0,91
21/04/2020,Drenthe,22,Overleden,1,24
21/04/2020,Drenthe,22,Totaal,6,400
21/04/2020,Drenthe,22,Ziekenhuisopname,8,99
22/04/2020,Drenthe,22,Overleden,2,26
22/04/2020,Drenthe,22,Totaal,5,405
22/04/2020,Drenthe,22,Ziekenhuisopname,3,102
23/04/2020,Drenthe,22,Overleden,0,26
23/04/2020,Drenthe,22,Totaal,16,421
23/04/2020,Drenthe,22,Ziekenhuisopname,0,102
24/04/2020,Drenthe,22,Overleden,2,28
24/04/2020,Drenthe,22,Totaal,16,437
24/04/2020,Drenthe,22,Ziekenhuisopname,0,102
25/04/2020,Drenthe,22,Overleden,0,28
25/04/2020,Drenthe,22,Totaal,12,449
25/04/2020,Drenthe,22,Ziekenhuisopname,4,106
26/04/2020,Drenthe,22,Overleden,0,28
26/04/2020,Drenthe,22,Totaal,0,449
26/04/2020,Drenthe,22,Ziekenhuisopname,0,106
27/04/2020,Drenthe,22,Overleden,0,28
27/04/2020,Drenthe,22,Totaal,12,461
27/04/2020,Drenthe,22,Ziekenhuisopname,0,106
28/04/2020,Drenthe,22,Overleden,0,28
28/04/2020,Drenthe,22,Totaal,0,461
28/04/2020,Drenthe,22,Ziekenhuisopname,0,106
29/04/2020,Drenthe,22,Overleden,3,31
29/04/2020,Drenthe,22,Totaal,6,467
29/04/2020,Drenthe,22,Ziekenhuisopname,7,113
30/04/2020,Drenthe,22,Overleden,0,31
30/04/2020,Drenthe,22,Totaal,6,473
30/04/2020,Drenthe,22,Ziekenhuisopname,1,114
01/05/2020,Drenthe,22,Overleden,0,31
01/05/2020,Drenthe,22,Totaal,2,475
01/05/2020,Drenthe,22,Ziekenhuisopname,0,114
02/05/2020,Drenthe,22,Overleden,1,32
02/05/2020,Drenthe,22,Totaal,6,481
02/05/2020,Drenthe,22,Ziekenhuisopname,0,114
03/05/2020,Drenthe,22,Overleden,0,32
03/05/2020,Drenthe,22,Totaal,0,481
03/05/2020,Drenthe,22,Ziekenhuisopname,1,115
04/05/2020,Drenthe,22,Overleden,0,32
04/05/2020,Drenthe,22,Totaal,4,485
04/05/2020,Drenthe,22,Ziekenhuisopname,0,115
05/05/2020,Drenthe,22,Overleden,0,32
05/05/2020,Drenthe,22,Totaal,4,489
05/05/2020,Drenthe,22,Ziekenhuisopname,0,115
06/05/2020,Drenthe,22,Overleden,0,32
06/05/2020,Drenthe,22,Totaal,2,491
06/05/2020,Drenthe,22,Ziekenhuisopname,0,115
07/05/2020,Drenthe,22,Overleden,0,32
07/05/2020,Drenthe,22,Totaal,0,491
07/05/2020,Drenthe,22,Ziekenhuisopname,1,116
08/05/2020,Drenthe,22,Overleden,0,32
08/05/2020,Drenthe,22,Totaal,1,492
08/05/2020,Drenthe,22,Ziekenhuisopname,0,116
09/05/2020,Drenthe,22,Overleden,6,38
09/05/2020,Drenthe,22,Totaal,1,493
09/05/2020,Drenthe,22,Ziekenhuisopname,0,116
10/05/2020,Drenthe,22,Overleden,0,38
10/05/2020,Drenthe,22,Totaal,1,494
10/05/2020,Drenthe,22,Ziekenhuisopname,0,116
11/05/2020,Drenthe,22,Overleden,0,38
11/05/2020,Drenthe,22,Totaal,1,495
11/05/2020,Drenthe,22,Ziekenhuisopname,0,116
12/05/2020,Drenthe,22,Overleden,0,38
12/05/2020,Drenthe,22,Totaal,1,496
12/05/2020,Drenthe,22,Ziekenhuisopname,0,116
13/05/2020,Drenthe,22,Overleden,0,38
13/05/2020,Drenthe,22,Totaal,1,497
13/05/2020,Drenthe,22,Ziekenhuisopname,0,116
14/05/2020,Drenthe,22,Overleden,0,38
14/05/2020,Drenthe,22,Totaal,0,497
14/05/2020,Drenthe,22,Ziekenhuisopname,0,116
15/05/2020,Drenthe,22,Overleden,2,40
15/05/2020,Drenthe,22,Totaal,1,498
15/05/2020,Drenthe,22,Ziekenhuisopname,0,116
16/05/2020,Drenthe,22,Overleden,0,40
16/05/2020,Drenthe,22,Totaal,0,498
16/05/2020,Drenthe,22,Ziekenhuisopname,0,116
17/05/2020,Drenthe,22,Overleden,0,40
17/05/2020,Drenthe,22,Totaal,0,498
17/05/2020,Drenthe,22,Ziekenhuisopname,0,116
18/05/2020,Drenthe,22,Overleden,0,40
18/05/2020,Drenthe,22,Totaal,1,499
18/05/2020,Drenthe,22,Ziekenhuisopname,0,116
19/05/2020,Drenthe,22,Overleden,0,40
19/05/2020,Drenthe,22,Totaal,0,499
19/05/2020,Drenthe,22,Ziekenhuisopname,0,116
20/05/2020,Drenthe,22,Overleden,0,40
20/05/2020,Drenthe,22,Totaal,2,501
20/05/2020,Drenthe,22,Ziekenhuisopname,0,116
21/05/2020,Drenthe,22,Overleden,0,40
21/05/2020,Drenthe,22,Totaal,0,501
21/05/2020,Drenthe,22,Ziekenhuisopname,0,116
